,0
796,10358.916580722627
797,10398.212101810564
798,10436.322670204472
799,10473.245123995388
800,10508.975971258364
801,10543.511731782264
802,10576.84933762765
803,10608.986515851822
804,10639.9220900785
805,10669.656145976847
806,10698.190042426058
807,10725.526313557386
808,10751.668492585295
809,10776.620843105447
810,10800.388039831329
811,10822.974908528155
812,10844.38629054524
813,10864.627015091462
814,10883.701913288733
815,10901.615790916701
816,10918.373310631654
817,10933.978804405364
818,10948.436079221645
819,10961.748233416056
820,10973.917429155455
821,10984.944622988862
822,10994.829365316265
823,11003.56974464594
824,11011.162448643856
825,11017.60289530649
826,11022.88542419381
827,11027.003542424616
828,11029.95016977907
829,11031.71778496945
830,11032.298409308969
831,11031.683452378413
832,11029.863527687085
833,11026.828366918846
834,11022.566884979035
835,11017.067348722943
836,11010.31758139119
837,11002.305169665766
838,10993.017664895498
839,10982.442783730885
840,10970.568612778148
841,10957.38378994987
842,10942.877654668082
843,10927.0404772078
844,10909.863896406325
845,10891.341519497279
846,10871.469506087476
847,10850.246981571936
848,10827.67619442508
849,10803.762423142893
850,10778.513726571573
851,10751.94062825765
852,10724.055742976156
853,10694.873309222583
854,10664.40865287541
855,10632.677675155752
856,10599.69642249676
857,10565.480733162327
858,10530.045969336214
859,10493.406880897992
860,10455.577621724104
861,10416.571864385176
862,10376.402918714311
863,10335.083794662363
864,10292.627181035383
865,10249.045299839814
866,10204.349617475544
867,10158.550453493839
868,10111.65657425407
869,10063.674911965829
870,10014.610584860151
871,9964.467299783766
872,9913.248031517447
873,9860.955773867334
874,9807.594179950558
875,9753.167988064713
876,9697.683231733668
877,9641.147304423523
878,9583.568956404282
879,9524.958238771804
880,9465.326343138795
881,9404.685318760936
882,9343.047721194698
883,9280.42625837637
884,9216.833468305618
885,9152.281405254806
886,9086.781280999556
887,9020.343057069727
888,8952.97505445263
889,8884.683667907097
890,8815.473248222102
891,8745.346204339672
892,8674.30336084054
893,8602.34450317427
894,8529.468933307198
895,8455.675890975706
896,8380.9648252159
897,8305.33556255694
898,8228.788364059963
899,8151.323829356633
900,8072.942688329378
901,7993.645614136353
902,7913.433181053377
903,7832.306018406615
904,7750.265155434516
905,7667.312495513006
906,7583.451292672855
907,7498.68650186747
908,7413.024942475557
909,7326.475264893799
910,7239.047715753764
911,7150.753726242626
912,7061.605423248847
913,6971.61518731359
914,6880.795340927717
915,6789.158046654744
916,6696.715475185268
917,6603.480173857835
918,6509.465459281512
919,6414.685722095262
920,6319.156654495598
921,6222.8954106374285
922,6125.92063446085
923,6028.252302785456
924,5929.911424136899
925,5830.919670220427
926,5731.298970841781
927,5631.0710617569885
928,5530.256999001086
929,5428.8767080452035
930,5326.948632464424
931,5224.48947696791
932,5121.513995979025
933,5018.034789869329
934,4914.062098306378
935,4809.603636863134
936,4704.664574965612
937,4599.247707906946
938,4493.353812033108
939,4386.982206327078
940,4280.131542919514
941,4172.800726283317
942,4064.989788067574
943,3956.700604390966
944,3847.9374201427286
945,3738.707164129082
946,3629.0195467758335
947,3518.886985092833
948,3408.3244304492373
949,3297.349108931068
950,3185.9801158178025
951,3074.2378397871294
952,2962.14328238162
953,2849.7174035206303
954,2736.9806235851183
955,2623.9525344947724
956,2510.6517756221942
957,2397.095992846271
958,2283.301823790902
959,2169.2848799485464
960,2055.0596910443123
961,1940.6396060627662
962,1826.036731936356
963,1711.262010183365
964,1596.325455702838
965,1481.2365388021235
966,1366.0046977046818
967,1250.639909874755
968,1135.1531710435427
969,1019.55678595989
970,903.8644965400895
971,788.091498954892
972,672.254347715242
973,556.3707143303602
974,440.4590112112001
975,324.5379416715943
976,208.62602337444855
977,92.74113867845601
978,-23.0997979604306
979,-138.881017310765
980,-254.5879619940304
981,-370.2072904436594
982,-485.7268557021567
983,-601.1356985723022
984,-716.4240486725744
985,-831.5832676192605
986,-946.6056774428994
987,-1061.4842986812666
988,-1176.2125698258758
989,-1290.7840763712247
990,-1405.1922962923688
991,-1519.4303945514441
992,-1633.4910863744549
993,-1747.36658568604
994,-1861.0486849411552
995,-1974.5289623372673
996,-2087.7989984727415
997,-2200.8504763192705
998,-2313.6751555950236
999,-2426.264806011706
1000,-2538.611199242689
1001,-2650.706205361778
1002,-2762.5419092501693
1003,-2874.1105868061077
1004,-2985.404479767005
1005,-3096.4154819798573
1006,-3207.134935284752
1007,-3317.5536560559385
1008,-3427.6621386083184
1009,-3537.4507599502094
1010,-3646.909814563848
1011,-3756.029326183851
1012,-3864.798760374145
1013,-3973.2068371415644
1014,-4081.241518012859
1015,-4188.890078143382
1016,-4296.139156522137
1017,-4402.974782975766
1018,-4509.382475201996
1019,-4615.347463105886
1020,-4720.854961076906
1021,-4825.890373294127
1022,-4930.439428826385
1023,-5034.488269893814
1024,-5138.023408227689
1025,-5241.031466949704
1026,-5343.498793461701
1027,-5445.411139966466
1028,-5546.753530716682
1029,-5647.510296420387
1030,-5747.665226511294
1031,-5847.20182623194
1032,-5946.103664401708
1033,-6044.354774423752
1034,-6141.940028717133
1035,-6238.845364580516
1036,-6335.057793085378
1037,-6430.565249616629
1038,-6525.356393863634
1039,-6619.420411067012
1040,-6712.7468335366875
1041,-6805.325413757431
1042,-6897.146054792273
1043,-6988.19877302556
1044,-7078.473680204419
1045,-7167.960980906347
1046,-7256.650981896004
1047,-7344.5341430006365
1048,-7431.601240726295
1049,-7517.843677478634
1050,-7603.253854357785
1051,-7687.825485115867
1052,-7771.553820456485
1053,-7854.435819344699
1054,-7936.470246033748
1055,-8017.65762371132
1056,-8098.000104622661
1057,-8177.501470712782
1058,-8256.167334747148
1059,-8334.005311993486
1060,-8411.024927154887
1061,-8487.237256642691
1062,-8562.654412016063
1063,-8637.288931753836
1064,-8711.153127891861
1065,-8784.258424048328
1066,-8856.614716137608
1067,-8928.22983402054
1068,-8999.109177428933
1069,-9069.255485917247
1070,-9138.66866843753
1071,-9207.345716032489
1072,-9275.280764670852
1073,-9342.465300627317
1074,-9408.888429615849
1075,-9474.537156784818
1076,-9539.39669189737
1077,-9603.450805972298
1078,-9666.682230544768
1079,-9729.073067823821
1080,-9790.605175336044
1081,-9851.260499894057
1082,-9911.021373613446
1083,-9969.87079477322
1084,-10027.792684876424
1085,-10084.772103990823
1086,-10140.795406790989
1087,-10195.850322828604
1088,-10249.925970758984
1089,-10303.012828248817
1090,-10355.102674111067
1091,-10406.188512017818
1092,-10456.264450785173
1093,-10505.325486585494
1094,-10553.367157899624
1095,-10600.385107882292
1096,-10646.3746297858
1097,-10691.330260434965
1098,-10735.245471179775
1099,-10778.112504998011
1100,-10819.922344881166
1101,-10860.66469084826
1102,-10900.327859050833
1103,-10938.898665931254
1104,-10976.3623875295
1105,-11012.702839203332
1106,-11047.902624613826
1107,-11081.943550494405
1108,-11114.807115602172
1109,-11146.474990090961
1110,-11176.929448924184
1111,-11206.153713188662
1112,-11234.132147146687
1113,-11260.850327803866
1114,-11286.295067808263
1115,-11310.454448536635
1116,-11333.317870930443
1117,-11354.87612310685
1118,-11375.121465074682
1119,-11394.047699190878
1120,-11411.650162033919
1121,-11427.925616897583
1122,-11442.87210377853
1123,-11456.488822638305
1124,-11468.776120760927
1125,-11479.735616956348
1126,-11489.370378249336
1127,-11497.685007636934
1128,-11504.685588409573
1129,-11510.379505907033
1130,-11514.775172428228
1131,-11517.881715162988
1132,-11519.708726790699
1133,-11520.266136409402
1134,-11519.564150105609
1135,-11517.613114318785
1136,-11514.423172310613
1137,-11510.003739495764
1138,-11504.362960797927
1139,-11497.507309038261
1140,-11489.441411845562
1141,-11480.168107698477
1142,-11469.688640966211
1143,-11458.002899706265
1144,-11445.109668689996
1145,-11431.006902106747
1146,-11415.692011518402
1147,-11399.162169180829
1148,-11381.414645101393
1149,-11362.447201899611
1150,-11342.258514118479
1151,-11320.848499226991
1152,-11298.218494823743
1153,-11274.371319545606
1154,-11249.311227028596
1155,-11223.043712950684
1156,-11195.575213691836
1157,-11166.912801623868
1158,-11137.063925435332
1159,-11106.03618622105
1160,-11073.837169599921
1161,-11040.474380227217
